dateTimeAus,tideCategory,tideCategoryHeight
2023-01-01 05:06:00,High,1.58
2023-01-01 08:17:00,Falling,
2023-01-01 11:28:00,Low,0.72
2023-01-01 14:20:30,Rising,
2023-01-01 17:13:00,High,1.3
2023-01-01 20:12:30,Falling,
2023-01-01 23:12:00,Low,0.57
2023-01-02 02:35:00,Rising,
2023-01-02 05:58:00,High,1.64
2023-01-02 09:18:30,Falling,
2023-01-02 12:39:00,Low,0.67
2023-01-02 15:27:30,Rising,
2023-01-02 18:16:00,High,1.25
2023-01-02 21:07:00,Falling,
2023-01-02 23:58:00,Low,0.6
2023-01-03 03:21:30,Rising,
2023-01-03 06:45:00,High,1.7
2023-01-03 10:10:00,Falling,
2023-01-03 13:35:00,Low,0.61
2023-01-03 16:24:30,Rising,
2023-01-03 19:14:00,High,1.23
2023-01-03 21:58:00,Falling,
2023-01-04 00:42:00,Low,0.62
2023-01-04 04:05:30,Rising,
2023-01-04 07:29:00,High,1.75
2023-01-04 10:55:00,Falling,
2023-01-04 14:21:00,Low,0.54
2023-01-04 17:12:30,Rising,
2023-01-04 20:04:00,High,1.24
2023-01-04 22:44:30,Falling,
2023-01-05 01:25:00,Low,0.63
2023-01-05 04:47:00,Rising,
2023-01-05 08:09:00,High,1.78
2023-01-05 11:34:30,Falling,
2023-01-05 15:00:00,Low,0.49
2023-01-05 17:54:00,Rising,
2023-01-05 20:48:00,High,1.26
2023-01-05 23:26:30,Falling,
2023-01-06 02:05:00,Low,0.63
2023-01-06 05:26:00,Rising,
2023-01-06 08:47:00,High,1.81
2023-01-06 12:11:00,Falling,
2023-01-06 15:35:00,Low,0.45
2023-01-06 18:32:00,Rising,
2023-01-06 21:29:00,High,1.29
2023-01-07 00:07:00,Falling,
2023-01-07 02:45:00,Low,0.63
2023-01-07 06:05:00,Rising,
2023-01-07 09:25:00,High,1.83
2023-01-07 12:47:30,Falling,
2023-01-07 16:10:00,Low,0.43
2023-01-07 19:08:00,Rising,
2023-01-07 22:06:00,High,1.31
2023-01-08 00:45:00,Falling,
2023-01-08 03:24:00,Low,0.63
2023-01-08 06:42:30,Rising,
2023-01-08 10:01:00,High,1.83
2023-01-08 13:22:30,Falling,
2023-01-08 16:44:00,Low,0.42
2023-01-08 19:43:30,Rising,
2023-01-08 22:43:00,High,1.32
2023-01-09 01:22:30,Falling,
2023-01-09 04:02:00,Low,0.63
2023-01-09 07:19:30,Rising,
2023-01-09 10:37:00,High,1.82
2023-01-09 13:57:00,Falling,
2023-01-09 17:17:00,Low,0.43
2023-01-09 20:18:00,Rising,
2023-01-09 23:19:00,High,1.33
2023-01-10 02:00:00,Falling,
2023-01-10 04:41:00,Low,0.64
2023-01-10 07:57:00,Rising,
2023-01-10 11:13:00,High,1.79
2023-01-10 14:33:00,Falling,
2023-01-10 17:53:00,Low,0.44
2023-01-10 20:55:30,Rising,
2023-01-10 23:58:00,High,1.33
2023-01-11 02:39:30,Falling,
2023-01-11 05:21:00,Low,0.66
2023-01-11 08:34:30,Rising,
2023-01-11 11:48:00,High,1.74
2023-01-11 15:08:00,Falling,
2023-01-11 18:28:00,Low,0.46
2023-01-11 21:33:00,Rising,
2023-01-12 00:38:00,High,1.34
2023-01-12 03:21:00,Falling,
2023-01-12 06:04:00,Low,0.7
2023-01-12 09:14:30,Rising,
2023-01-12 12:25:00,High,1.67
2023-01-12 15:44:30,Falling,
2023-01-12 19:04:00,Low,0.48
2023-01-12 22:12:30,Rising,
2023-01-13 01:21:00,High,1.35
2023-01-13 04:06:00,Falling,
2023-01-13 06:51:00,Low,0.74
2023-01-13 09:57:00,Rising,
2023-01-13 13:03:00,High,1.59
2023-01-13 16:22:30,Falling,
2023-01-13 19:42:00,Low,0.51
2023-01-13 22:55:00,Rising,
2023-01-14 02:08:00,High,1.38
2023-01-14 04:56:30,Falling,
2023-01-14 07:45:00,Low,0.77
2023-01-14 10:46:30,Rising,
2023-01-14 13:48:00,High,1.5
2023-01-14 17:05:30,Falling,
2023-01-14 20:23:00,Low,0.53
2023-01-14 23:41:30,Rising,
2023-01-15 03:00:00,High,1.43
2023-01-15 05:54:00,Falling,
2023-01-15 08:48:00,Low,0.79
2023-01-15 11:45:00,Rising,
2023-01-15 14:42:00,High,1.4
2023-01-15 17:55:00,Falling,
2023-01-15 21:08:00,Low,0.56
2023-01-16 00:31:30,Rising,
2023-01-16 03:55:00,High,1.5
2023-01-16 06:59:00,Falling,
2023-01-16 10:03:00,Low,0.77
2023-01-16 12:56:00,Rising,
2023-01-16 15:49:00,High,1.32
2023-01-16 18:54:30,Falling,
2023-01-16 22:00:00,Low,0.58
2023-01-17 01:26:00,Rising,
2023-01-17 04:52:00,High,1.59
2023-01-17 08:07:00,Falling,
2023-01-17 11:22:00,Low,0.7
2023-01-17 14:14:00,Rising,
2023-01-17 17:06:00,High,1.28
2023-01-17 20:01:30,Falling,
2023-01-17 22:57:00,Low,0.58
2023-01-18 02:23:00,Rising,
2023-01-18 05:49:00,High,1.7
2023-01-18 09:11:30,Falling,
2023-01-18 12:34:00,Low,0.58
2023-01-18 15:27:00,Rising,
2023-01-18 18:20:00,High,1.28
2023-01-18 21:08:30,Falling,
2023-01-18 23:57:00,Low,0.57
2023-01-19 03:21:00,Rising,
2023-01-19 06:45:00,High,1.83
2023-01-19 10:10:30,Falling,
2023-01-19 13:36:00,Low,0.45
2023-01-19 16:31:30,Rising,
2023-01-19 19:27:00,High,1.32
2023-01-19 22:11:00,Falling,
2023-01-20 00:55:00,Low,0.54
2023-01-20 04:17:30,Rising,
2023-01-20 07:40:00,High,1.95
2023-01-20 11:05:30,Falling,
2023-01-20 14:31:00,Low,0.31
2023-01-20 17:28:30,Rising,
2023-01-20 20:26:00,High,1.38
2023-01-20 23:09:00,Falling,
2023-01-21 01:52:00,Low,0.49
2023-01-21 05:13:00,Rising,
2023-01-21 08:34:00,High,2.05
2023-01-21 11:58:30,Falling,
2023-01-21 15:23:00,Low,0.21
2023-01-21 18:22:00,Rising,
2023-01-21 21:21:00,High,1.43
2023-01-22 00:04:00,Falling,
2023-01-22 02:47:00,Low,0.45
2023-01-22 06:07:30,Rising,
2023-01-22 09:28:00,High,2.12
2023-01-22 12:50:00,Falling,
2023-01-22 16:12:00,Low,0.15
2023-01-22 19:13:30,Rising,
2023-01-22 22:15:00,High,1.48
2023-01-23 00:58:30,Falling,
2023-01-23 03:42:00,Low,0.43
2023-01-23 07:00:30,Rising,
2023-01-23 10:19:00,High,2.13
2023-01-23 13:39:30,Falling,
2023-01-23 17:00:00,Low,0.14
2023-01-23 20:02:00,Rising,
2023-01-23 23:04:00,High,1.51
2023-01-24 01:50:00,Falling,
2023-01-24 04:36:00,Low,0.43
2023-01-24 07:52:30,Rising,
2023-01-24 11:09:00,High,2.08
2023-01-24 14:27:30,Falling,
2023-01-24 17:46:00,Low,0.18
2023-01-24 20:50:30,Rising,
2023-01-24 23:55:00,High,1.54
2023-01-25 02:42:30,Falling,
2023-01-25 05:30:00,Low,0.46
2023-01-25 08:44:00,Rising,
2023-01-25 11:58:00,High,1.97
2023-01-25 15:15:00,Falling,
2023-01-25 18:32:00,Low,0.25
2023-01-25 21:38:30,Rising,
2023-01-26 00:45:00,High,1.55
2023-01-26 03:36:00,Falling,
2023-01-26 06:27:00,Low,0.53
2023-01-26 09:36:00,Rising,
2023-01-26 12:45:00,High,1.8
2023-01-26 16:00:30,Falling,
2023-01-26 19:16:00,Low,0.34
2023-01-26 22:25:30,Rising,
2023-01-27 01:35:00,High,1.55
2023-01-27 04:30:30,Falling,
2023-01-27 07:26:00,Low,0.61
2023-01-27 10:30:00,Rising,
2023-01-27 13:34:00,High,1.61
2023-01-27 16:47:00,Falling,
2023-01-27 20:00:00,Low,0.45
2023-01-27 23:14:00,Rising,
2023-01-28 02:28:00,High,1.55
2023-01-28 05:29:00,Falling,
2023-01-28 08:30:00,Low,0.69
2023-01-28 11:28:30,Rising,
2023-01-28 14:27:00,High,1.42
2023-01-28 17:36:00,Falling,
2023-01-28 20:45:00,Low,0.55
2023-01-29 00:04:30,Rising,
2023-01-29 03:24:00,High,1.55
2023-01-29 06:34:00,Falling,
2023-01-29 09:44:00,Low,0.74
2023-01-29 12:36:30,Rising,
2023-01-29 15:29:00,High,1.27
2023-01-29 18:30:00,Falling,
2023-01-29 21:31:00,Low,0.64
2023-01-30 00:57:00,Rising,
2023-01-30 04:23:00,High,1.57
2023-01-30 07:44:30,Falling,
2023-01-30 11:06:00,Low,0.75
2023-01-30 13:54:30,Rising,
2023-01-30 16:43:00,High,1.17
2023-01-30 19:34:00,Falling,
2023-01-30 22:25:00,Low,0.7
2023-01-31 01:53:00,Rising,
2023-01-31 05:21:00,High,1.59
2023-01-31 08:52:00,Falling,
2023-01-31 12:23:00,Low,0.71
2023-01-31 15:11:30,Rising,
2023-01-31 18:00:00,High,1.14
2023-01-31 20:41:30,Falling,
2023-01-31 23:23:00,Low,0.73
2023-02-01 02:49:30,Rising,
2023-02-01 06:16:00,High,1.63
2023-02-01 09:48:30,Falling,
2023-02-01 13:21:00,Low,0.64
2023-02-01 16:13:00,Rising,
2023-02-01 19:05:00,High,1.17
2023-02-01 21:42:00,Falling,
2023-02-02 00:19:00,Low,0.72
2023-02-02 03:42:00,Rising,
2023-02-02 07:05:00,High,1.67
2023-02-02 10:35:00,Falling,
2023-02-02 14:05:00,Low,0.57
2023-02-02 17:00:00,Rising,
2023-02-02 19:55:00,High,1.22
2023-02-02 22:32:30,Falling,
2023-02-03 01:10:00,Low,0.7
2023-02-03 04:30:00,Rising,
2023-02-03 07:50:00,High,1.72
2023-02-03 11:16:00,Falling,
2023-02-03 14:42:00,Low,0.51
2023-02-03 17:38:30,Rising,
2023-02-03 20:35:00,High,1.28
2023-02-03 23:15:00,Falling,
2023-02-04 01:55:00,Low,0.66
2023-02-04 05:12:30,Rising,
2023-02-04 08:30:00,High,1.76
2023-02-04 11:52:30,Falling,
2023-02-04 15:15:00,Low,0.46
2023-02-04 18:13:30,Rising,
