month,monthNum,dayOfMonth,tideTime,tideHeight,date,tideDateTimeAus,high_low,high_low_1_2
January,1,1,05:06,1.58,01/01/2023,2023-01-01 05:06:00,High,High1
January,1,1,11:28,0.72,01/01/2023,2023-01-01 11:28:00,Low,Low1
January,1,1,17:13,1.3,01/01/2023,2023-01-01 17:13:00,High,High2
January,1,1,23:12,0.57,01/01/2023,2023-01-01 23:12:00,Low,Low2
January,1,2,05:58,1.64,02/01/2023,2023-01-02 05:58:00,High,High1
January,1,2,12:39,0.67,02/01/2023,2023-01-02 12:39:00,Low,Low1
January,1,2,18:16,1.25,02/01/2023,2023-01-02 18:16:00,High,High2
January,1,2,23:58,0.6,02/01/2023,2023-01-02 23:58:00,Low,Low2
January,1,3,06:45,1.7,03/01/2023,2023-01-03 06:45:00,High,High1
January,1,3,13:35,0.61,03/01/2023,2023-01-03 13:35:00,Low,Low1
January,1,3,19:14,1.23,03/01/2023,2023-01-03 19:14:00,High,High2
January,1,4,00:42,0.62,04/01/2023,2023-01-04 00:42:00,Low,Low1
January,1,4,07:29,1.75,04/01/2023,2023-01-04 07:29:00,High,High1
January,1,4,14:21,0.54,04/01/2023,2023-01-04 14:21:00,Low,Low2
January,1,4,20:04,1.24,04/01/2023,2023-01-04 20:04:00,High,High2
January,1,5,01:25,0.63,05/01/2023,2023-01-05 01:25:00,Low,Low1
January,1,5,08:09,1.78,05/01/2023,2023-01-05 08:09:00,High,High1
January,1,5,15:00,0.49,05/01/2023,2023-01-05 15:00:00,Low,Low2
January,1,5,20:48,1.26,05/01/2023,2023-01-05 20:48:00,High,High2
January,1,6,02:05,0.63,06/01/2023,2023-01-06 02:05:00,Low,Low1
January,1,6,08:47,1.81,06/01/2023,2023-01-06 08:47:00,High,High1
January,1,6,15:35,0.45,06/01/2023,2023-01-06 15:35:00,Low,Low2
January,1,6,21:29,1.29,06/01/2023,2023-01-06 21:29:00,High,High2
January,1,7,02:45,0.63,07/01/2023,2023-01-07 02:45:00,Low,Low1
January,1,7,09:25,1.83,07/01/2023,2023-01-07 09:25:00,High,High1
January,1,7,16:10,0.43,07/01/2023,2023-01-07 16:10:00,Low,Low2
January,1,7,22:06,1.31,07/01/2023,2023-01-07 22:06:00,High,High2
January,1,8,03:24,0.63,08/01/2023,2023-01-08 03:24:00,Low,Low1
January,1,8,10:01,1.83,08/01/2023,2023-01-08 10:01:00,High,High1
January,1,8,16:44,0.42,08/01/2023,2023-01-08 16:44:00,Low,Low2
January,1,8,22:43,1.32,08/01/2023,2023-01-08 22:43:00,High,High2
January,1,9,04:02,0.63,09/01/2023,2023-01-09 04:02:00,Low,Low1
January,1,9,10:37,1.82,09/01/2023,2023-01-09 10:37:00,High,High1
January,1,9,17:17,0.43,09/01/2023,2023-01-09 17:17:00,Low,Low2
January,1,9,23:19,1.33,09/01/2023,2023-01-09 23:19:00,High,High2
January,1,10,04:41,0.64,10/01/2023,2023-01-10 04:41:00,Low,Low1
January,1,10,11:13,1.79,10/01/2023,2023-01-10 11:13:00,High,High1
January,1,10,17:53,0.44,10/01/2023,2023-01-10 17:53:00,Low,Low2
January,1,10,23:58,1.33,10/01/2023,2023-01-10 23:58:00,High,High2
January,1,11,05:21,0.66,11/01/2023,2023-01-11 05:21:00,Low,Low1
January,1,11,11:48,1.74,11/01/2023,2023-01-11 11:48:00,High,High1
January,1,11,18:28,0.46,11/01/2023,2023-01-11 18:28:00,Low,Low2
January,1,12,00:38,1.34,12/01/2023,2023-01-12 00:38:00,High,High1
January,1,12,06:04,0.7,12/01/2023,2023-01-12 06:04:00,Low,Low1
January,1,12,12:25,1.67,12/01/2023,2023-01-12 12:25:00,High,High2
January,1,12,19:04,0.48,12/01/2023,2023-01-12 19:04:00,Low,Low2
January,1,13,01:21,1.35,13/01/2023,2023-01-13 01:21:00,High,High1
January,1,13,06:51,0.74,13/01/2023,2023-01-13 06:51:00,Low,Low1
January,1,13,13:03,1.59,13/01/2023,2023-01-13 13:03:00,High,High2
January,1,13,19:42,0.51,13/01/2023,2023-01-13 19:42:00,Low,Low2
January,1,14,02:08,1.38,14/01/2023,2023-01-14 02:08:00,High,High1
January,1,14,07:45,0.77,14/01/2023,2023-01-14 07:45:00,Low,Low1
January,1,14,13:48,1.5,14/01/2023,2023-01-14 13:48:00,High,High2
January,1,14,20:23,0.53,14/01/2023,2023-01-14 20:23:00,Low,Low2
January,1,15,03:00,1.43,15/01/2023,2023-01-15 03:00:00,High,High1
January,1,15,08:48,0.79,15/01/2023,2023-01-15 08:48:00,Low,Low1
January,1,15,14:42,1.4,15/01/2023,2023-01-15 14:42:00,High,High2
January,1,15,21:08,0.56,15/01/2023,2023-01-15 21:08:00,Low,Low2
January,1,16,03:55,1.5,16/01/2023,2023-01-16 03:55:00,High,High1
January,1,16,10:03,0.77,16/01/2023,2023-01-16 10:03:00,Low,Low1
January,1,16,15:49,1.32,16/01/2023,2023-01-16 15:49:00,High,High2
January,1,16,22:00,0.58,16/01/2023,2023-01-16 22:00:00,Low,Low2
January,1,17,04:52,1.59,17/01/2023,2023-01-17 04:52:00,High,High1
January,1,17,11:22,0.7,17/01/2023,2023-01-17 11:22:00,Low,Low1
January,1,17,17:06,1.28,17/01/2023,2023-01-17 17:06:00,High,High2
January,1,17,22:57,0.58,17/01/2023,2023-01-17 22:57:00,Low,Low2
January,1,18,05:49,1.7,18/01/2023,2023-01-18 05:49:00,High,High1
January,1,18,12:34,0.58,18/01/2023,2023-01-18 12:34:00,Low,Low1
January,1,18,18:20,1.28,18/01/2023,2023-01-18 18:20:00,High,High2
January,1,18,23:57,0.57,18/01/2023,2023-01-18 23:57:00,Low,Low2
January,1,19,06:45,1.83,19/01/2023,2023-01-19 06:45:00,High,High1
January,1,19,13:36,0.45,19/01/2023,2023-01-19 13:36:00,Low,Low1
January,1,19,19:27,1.32,19/01/2023,2023-01-19 19:27:00,High,High2
January,1,20,00:55,0.54,20/01/2023,2023-01-20 00:55:00,Low,Low1
January,1,20,07:40,1.95,20/01/2023,2023-01-20 07:40:00,High,High1
January,1,20,14:31,0.31,20/01/2023,2023-01-20 14:31:00,Low,Low2
January,1,20,20:26,1.38,20/01/2023,2023-01-20 20:26:00,High,High2
January,1,21,01:52,0.49,21/01/2023,2023-01-21 01:52:00,Low,Low1
January,1,21,08:34,2.05,21/01/2023,2023-01-21 08:34:00,High,High1
January,1,21,15:23,0.21,21/01/2023,2023-01-21 15:23:00,Low,Low2
January,1,21,21:21,1.43,21/01/2023,2023-01-21 21:21:00,High,High2
January,1,22,02:47,0.45,22/01/2023,2023-01-22 02:47:00,Low,Low1
January,1,22,09:28,2.12,22/01/2023,2023-01-22 09:28:00,High,High1
January,1,22,16:12,0.15,22/01/2023,2023-01-22 16:12:00,Low,Low2
January,1,22,22:15,1.48,22/01/2023,2023-01-22 22:15:00,High,High2
January,1,23,03:42,0.43,23/01/2023,2023-01-23 03:42:00,Low,Low1
January,1,23,10:19,2.13,23/01/2023,2023-01-23 10:19:00,High,High1
January,1,23,17:00,0.14,23/01/2023,2023-01-23 17:00:00,Low,Low2
January,1,23,23:04,1.51,23/01/2023,2023-01-23 23:04:00,High,High2
January,1,24,04:36,0.43,24/01/2023,2023-01-24 04:36:00,Low,Low1
January,1,24,11:09,2.08,24/01/2023,2023-01-24 11:09:00,High,High1
January,1,24,17:46,0.18,24/01/2023,2023-01-24 17:46:00,Low,Low2
January,1,24,23:55,1.54,24/01/2023,2023-01-24 23:55:00,High,High2
January,1,25,05:30,0.46,25/01/2023,2023-01-25 05:30:00,Low,Low1
January,1,25,11:58,1.97,25/01/2023,2023-01-25 11:58:00,High,High1
January,1,25,18:32,0.25,25/01/2023,2023-01-25 18:32:00,Low,Low2
January,1,26,00:45,1.55,26/01/2023,2023-01-26 00:45:00,High,High1
January,1,26,06:27,0.53,26/01/2023,2023-01-26 06:27:00,Low,Low1
January,1,26,12:45,1.8,26/01/2023,2023-01-26 12:45:00,High,High2
January,1,26,19:16,0.34,26/01/2023,2023-01-26 19:16:00,Low,Low2
January,1,27,01:35,1.55,27/01/2023,2023-01-27 01:35:00,High,High1
January,1,27,07:26,0.61,27/01/2023,2023-01-27 07:26:00,Low,Low1
January,1,27,13:34,1.61,27/01/2023,2023-01-27 13:34:00,High,High2
January,1,27,20:00,0.45,27/01/2023,2023-01-27 20:00:00,Low,Low2
January,1,28,02:28,1.55,28/01/2023,2023-01-28 02:28:00,High,High1
January,1,28,08:30,0.69,28/01/2023,2023-01-28 08:30:00,Low,Low1
January,1,28,14:27,1.42,28/01/2023,2023-01-28 14:27:00,High,High2
January,1,28,20:45,0.55,28/01/2023,2023-01-28 20:45:00,Low,Low2
January,1,29,03:24,1.55,29/01/2023,2023-01-29 03:24:00,High,High1
January,1,29,09:44,0.74,29/01/2023,2023-01-29 09:44:00,Low,Low1
January,1,29,15:29,1.27,29/01/2023,2023-01-29 15:29:00,High,High2
January,1,29,21:31,0.64,29/01/2023,2023-01-29 21:31:00,Low,Low2
January,1,30,04:23,1.57,30/01/2023,2023-01-30 04:23:00,High,High1
January,1,30,11:06,0.75,30/01/2023,2023-01-30 11:06:00,Low,Low1
January,1,30,16:43,1.17,30/01/2023,2023-01-30 16:43:00,High,High2
January,1,30,22:25,0.7,30/01/2023,2023-01-30 22:25:00,Low,Low2
January,1,31,05:21,1.59,31/01/2023,2023-01-31 05:21:00,High,High1
January,1,31,12:23,0.71,31/01/2023,2023-01-31 12:23:00,Low,Low1
January,1,31,18:00,1.14,31/01/2023,2023-01-31 18:00:00,High,High2
January,1,31,23:23,0.73,31/01/2023,2023-01-31 23:23:00,Low,Low2
February,2,1,06:16,1.63,01/02/2023,2023-02-01 06:16:00,High,High1
